week,Stephen Harper,Elizabeth May,Thomas Mulcair,Justin Trudeau
1,1,4,3,2
2,1,2,2,2
3,2,4,3,1
4,1,4,3,2
5,1,4,2,2
6,1,4,2,3
7,1,4,3,2
8,1,4,3,1
9,1,4,3,2
10,1,3,2,4
11,1,4,3,2
12,1,2,2,2
